PIXEL_INDEX,MIN_LAT,MAX_LAT,MIN_LON,MAX_LON,AM,NEUTRON_DEN,W_MGO,W_AL2O3,W_SIO2,W_CAO,W_TIO2,W_FEO,W_K,W_TH,W_U,"E[0,0]","E[0,1]","E[0,2]","E[0,3]","E[0,4]","E[0,5]","E[0,6]","E[0,7]","E[0,8]","E[1,1]","E[1,2]","E[1,3]","E[1,4]","E[1,5]","E[1,6]","E[1,7]","E[1,8]","E[2,2]","E[2,3]","E[2,4]","E[2,5]","E[2,6]","E[2,7]","E[2,8]","E[3,3]","E[3,4]","E[3,5]","E[3,6]","E[3,7]","E[3,8]","E[4,4]","E[4,5]","E[4,6]","E[4,7]","E[4,8]","E[5,5]","E[5,6]","E[5,7]","E[5,8]","E[6,6]","E[6,7]","E[6,8]","E[7,7]","E[7,8]","E[8,8]"
10,-82.5,-77.5,-156.0,-132.0,22.037,1.3235e-06,0.095264,0.23394,0.44041,0.16682,0.0,0.073081,528.16,1.1916,0.3243,4.8148e-05,0.0,0.0,-1.4254e-05,0.0,0.0,-0.16224,3.2247e-06,-2.0436e-05,0.00011905,0.0,-3.9305e-05,0.0,-1.171e-05,0.027929,-9.6106e-05,3.6498e-05,8.8254e-05,-2.837e-06,-3.0972e-06,4.2336e-07,0.1124,0.00010811,-0.00016864,4.3655e-05,0.0,0.0,0.018196,-3.9665e-05,4.6366e-05,1.3949e-06,3.2526e-07,-0.0027955,1.1271e-06,1.383e-05,4.9211e-06,0.0029957,3.7471e-06,1.6315e-05,1805.2,0.0,0.0,0.0024482,-0.00037746,0.0014175
11,-82.5,-77.5,-132.0,-108.0,21.939,1.4345e-06,0.087905,0.25855,0.4426,0.15093,3.8089e-05,0.05832,480.9,0.99142,0.26966,4.8261e-05,0.0,0.0,-1.4066e-05,0.0,0.0,-0.16266,1.9464e-06,-2.0454e-05,0.00011862,0.0,-3.831e-05,0.0,-1.1193e-05,0.028891,-9.89e-05,3.285e-05,8.8485e-05,-3.0983e-06,-2.8516e-06,7.2876e-07,0.11122,0.00010848,-0.00016433,4.2752e-05,0.0,0.0,0.018048,-3.7683e-05,4.7907e-05,1.1786e-06,2.4685e-07,-0.0025582,1.2983e-06,1.2494e-05,4.2528e-06,0.0026165,4.5065e-06,1.5278e-05,1807.8,0.0,0.0,0.0024517,-0.00036719,0.0014133
12,-82.5,-77.5,-108.0,-84.0,21.784,1.5342e-06,0.069891,0.25648,0.45314,0.16337,0.00064063,0.051506,403.74,0.75561,0.20528,4.328e-05,0.0,0.0,-1.2384e-05,0.0,0.0,-0.1455,7.1167e-07,-1.8004e-05,0.00010566,0.0,-3.344e-05,0.0,-9.6536e-06,0.026675,-8.9837e-05,2.605e-05,7.9423e-05,-3.0421e-06,-2.379e-06,8.2192e-07,0.098491,9.6835e-05,-0.00014364,3.7537e-05,0.0,0.0,0.015798,-3.228e-05,4.3906e-05,9.1478e-07,1.6874e-07,-0.0021347,1.2753e-06,1.02e-05,3.391e-06,0.0020341,4.4782e-06,1.3057e-05,1610.5,0.0,0.0,0.0021824,-0.0003174,0.0012573
13,-82.5,-77.5,-84.0,-60.0,21.712,1.5147e-06,0.061184,0.26466,0.4642,0.15479,0.0025379,0.047619,433.0,0.69923,0.18989,4.5047e-05,0.0,0.0,-1.2904e-05,0.0,0.0,-0.15117,8.8826e-07,-1.8758e-05,0.00010998,0.0,-3.4869e-05,0.0,-1.0093e-05,0.027577,-9.305e-05,2.7399e-05,8.2618e-05,-3.1344e-06,-2.5053e-06,8.4133e-07,0.10247,0.00010043,-0.00014936,3.907e-05,0.0,0.0,0.016441,-3.3625e-05,4.5404e-05,9.7514e-07,1.8454e-07,-0.002244,1.3015e-06,1.0732e-05,3.5681e-06,0.0021515,4.6158e-06,1.3617e-05,1668.8,0.0,0.0,0.0022558,-0.00032933,0.001301
14,-82.5,-77.5,-60.0,-36.0,21.663,1.4797e-06,0.060065,0.27264,0.45052,0.15644,0.0019852,0.050699,433.65,0.81285,0.22091,4.7444e-05,0.0,0.0,-1.3649e-05,0.0,0.0,-0.15855,1.3332e-06,-1.992e-05,0.00011619,0.0,-3.7025e-05,0.0,-1.0755e-05,0.028606,-9.7269e-05,3.0336e-05,8.6988e-05,-3.1801e-06,-2.6927e-06,8.2687e-07,0.10782,0.00010561,-0.00015803,4.1369e-05,0.0,0.0,0.017306,-3.5869e-05,4.7177e-05,1.0706e-06,2.1124e-07,-0.002397,1.3355e-06,1.1575e-05,3.8967e-06,0.002341,4.6844e-06,1.4491e-05,1747.2,0.0,0.0,0.0023698,-0.00034923,0.0013641
15,-82.5,-77.5,-36.0,-12.0,21.694,1.5168e-06,0.064045,0.26901,0.45647,0.15859,0.0,0.045575,396.57,0.80181,0.2179,5.1197e-05,0.0,0.0,-1.4622e-05,0.0,0.0,-0.17151,1.0025e-06,-2.1365e-05,0.00012505,0.0,-3.9521e-05,0.0,-1.146e-05,0.031228,-0.00010606,3.132e-05,9.398e-05,-3.502e-06,-2.83e-06,9.6233e-07,0.11618,0.00011432,-0.00016914,4.4275e-05,0.0,0.0,0.01868,-3.8128e-05,5.1278e-05,1.0948e-06,2.067e-07,-0.0025192,1.4961e-06,1.2094e-05,4.044e-06,0.0024282,5.2706e-06,1.5451e-05,1892.3,0.0,0.0,0.0025677,-0.00037481,0.0014769
16,-82.5,-77.5,-12.0,12.0,21.586,1.5687e-06,0.072079,0.31288,0.42381,0.14272,0.0021151,0.041214,268.02,0.53378,0.14472,4.775e-05,0.0,0.0,-1.348e-05,0.0,0.0,-0.15922,3.2008e-07,-1.9502e-05,0.00011647,0.0,-3.6386e-05,0.0,-1.049e-05,0.029519,-9.9651e-05,2.7379e-05,8.7458e-05,-3.2993e-06,-2.5438e-06,1.0314e-06,0.10719,0.0001061,-0.00015532,4.0745e-05,0.0,0.0,0.01713,-3.4349e-05,4.8038e-05,9.5406e-07,1.6584e-07,-0.0022695,1.4442e-06,1.0759e-05,3.543e-06,0.0021009,5.1756e-06,1.3894e-05,1747.2,0.0,0.0,0.0023712,-0.00034002,0.0013635
17,-82.5,-77.5,12.0,36.0,21.627,1.5953e-06,0.065216,0.2743,0.44779,0.15296,0.001692,0.04342,296.68,0.44307,0.11996,5.0393e-05,0.0,0.0,-1.4224e-05,0.0,0.0,-0.16825,1.0026e-07,-2.0876e-05,0.0001226,0.0,-3.8191e-05,0.0,-1.1002e-05,0.031533,-0.00010569,2.7528e-05,9.2463e-05,-3.71e-06,-2.6478e-06,1.0884e-06,0.11311,0.00011238,-0.00016369,4.2958e-05,0.0,0.0,0.017907,-3.6179e-05,5.1635e-05,9.7686e-07,1.6438e-07,-0.0023652,1.5344e-06,1.1176e-05,3.6736e-06,0.0021293,5.5504e-06,1.474e-05,1854.9,0.0,0.0,0.0025144,-0.00035845,0.0014489
18,-82.5,-77.5,36.0,60.0,21.795,1.5899e-06,0.070335,0.26973,0.43666,0.15225,0.0026005,0.043429,230.14,0.58324,0.15822,4.8919e-05,0.0,0.0,-1.3856e-05,0.0,0.0,-0.16437,1.3701e-07,-2.049e-05,0.00011914,0.0,-3.728e-05,0.0,-1.0704e-05,0.030632,-0.00010272,2.7469e-05,8.9862e-05,-3.5752e-06,-2.5977e-06,1.011e-06,0.11067,0.0001096,-0.00016055,4.196e-05,0.0,0.0,0.017646,-3.5549e-05,5.037e-05,9.6643e-07,1.6582e-07,-0.0023339,1.4952e-06,1.1042e-05,3.6174e-06,0.0021493,5.3208e-06,1.4507e-05,1818.9,0.0,0.0,0.0024707,-0.00035352,0.0014245
19,-82.5,-77.5,60.0,84.0,21.767,1.5655e-06,0.066115,0.28051,0.43462,0.16017,0.0026687,0.045113,288.71,0.60256,0.1635,4.5165e-05,0.0,0.0,-1.2856e-05,0.0,0.0,-0.15156,3.9543e-07,-1.9008e-05,0.00011044,0.0,-3.4712e-05,0.0,-9.9971e-06,0.028019,-9.4607e-05,2.6297e-05,8.2946e-05,-3.1846e-06,-2.4349e-06,9.199e-07,0.10221,0.00010121,-0.00014878,3.8937e-05,0.0,0.0,0.016392,-3.3125e-05,4.6089e-05,9.2145e-07,1.6443e-07,-0.0021766,1.3633e-06,1.0395e-05,3.4209e-06,0.0020333,4.851e-06,1.3472e-05,1674.0,0.0,0.0,0.0022728,-0.00032723,0.0013106
20,-82.5,-77.5,84.0,108.0,21.765,1.5423e-06,0.082128,0.25669,0.45663,0.1636,0.0017718,0.049231,346.54,0.65144,0.17684,4.4555e-05,0.0,0.0,-1.2719e-05,0.0,0.0,-0.14935,5.4895e-07,-1.8587e-05,0.00010871,0.0,-3.4373e-05,0.0,-9.9163e-06,0.027428,-9.2475e-05,2.6431e-05,8.1702e-05,-3.1182e-06,-2.4426e-06,8.8828e-07,0.10109,9.9415e-05,-0.00014734,3.8569e-05,0.0,0.0,0.016149,-3.3053e-05,4.522e-05,9.3713e-07,1.7004e-07,-0.0021917,1.3376e-06,1.0454e-05,3.4432e-06,0.0020535,4.6868e-06,1.3324e-05,1652.6,0.0,0.0,0.00224,-0.00032419,0.0012919
21,-82.5,-77.5,108.0,132.0,21.647,1.5478e-06,0.085374,0.26487,0.44703,0.16894,0.00019294,0.048486,356.84,0.75971,0.2064,4.5849e-05,0.0,0.0,-1.3011e-05,0.0,0.0,-0.15312,5.1995e-07,-1.863e-05,0.00011151,0.0,-3.5073e-05,0.0,-1.0122e-05,0.028091,-9.4652e-05,2.7228e-05,8.3898e-05,-3.1576e-06,-2.4761e-06,9.2294e-07,0.10342,0.0001018,-0.00015027,3.9347e-05,0.0,0.0,0.016573,-3.3699e-05,4.5859e-05,9.3943e-07,1.6807e-07,-0.00221,1.3604e-06,1.0519e-05,3.4958e-06,0.0020934,4.7926e-06,1.353e-05,1684.6,0.0,0.0,0.0022838,-0.00033054,0.0013147
22,-82.5,-77.5,132.0,156.0,21.653,1.4965e-06,0.081469,0.26538,0.45211,0.16707,0.0013129,0.054639,470.25,0.86451,0.23501,4.8913e-05,0.0,0.0,-1.4037e-05,0.0,0.0,-0.1632,1.0225e-06,-1.9946e-05,0.00011912,0.0,-3.7851e-05,0.0,-1.0988e-05,0.029504,-9.9801e-05,3.0529e-05,8.9361e-05,-3.2897e-06,-2.7268e-06,8.7948e-07,0.11077,0.00010823,-0.00016198,4.2376e-05,0.0,0.0,0.017829,-3.6473e-05,4.8554e-05,1.0733e-06,2.0483e-07,-0.0024296,1.3849e-06,1.1692e-05,3.9486e-06,0.0023738,4.8636e-06,1.4775e-05,1795.0,0.0,0.0,0.0024252,-0.00035605,0.0014003
23,-82.5,-77.5,156.0,180.0,21.806,1.3783e-06,0.0916,0.25774,0.44283,0.16164,0.00057598,0.067767,461.65,1.103,0.30011,4.9727e-05,0.0,0.0,-1.4574e-05,0.0,0.0,-0.16617,2.6916e-06,-2.0948e-05,0.00012233,0.0,-3.9826e-05,0.0,-1.1763e-05,0.029075,-0.00010013,3.5382e-05,9.0954e-05,-3.0332e-06,-3.0413e-06,6.0822e-07,0.11415,0.00011091,-0.00016999,4.4279e-05,0.0,0.0,0.018523,-3.9459e-05,4.8126e-05,1.3078e-06,2.88e-07,-0.0027145,1.2569e-06,1.336e-05,4.6835e-06,0.0028443,4.2865e-06,1.6121e-05,1833.9,0.0,0.0,0.0024986,-0.00037875,0.001438
24,-77.5,-72.5,-180.0,-162.0,21.875,1.2397e-06,0.09367,0.23257,0.45049,0.13769,0.0046006,0.081944,732.57,1.6739,0.45597,7.3309e-05,0.0,0.0,-2.1808e-05,0.0,0.0,-0.2447,6.711e-06,-3.0638e-05,0.00018048,0.0,-6.0026e-05,0.0,-1.8278e-05,0.041232,-0.00014266,5.8906e-05,0.00013323,-3.7648e-06,-4.9752e-06,4.3642e-07,0.17,0.00016345,-0.00025673,6.631e-05,0.0,0.0,0.027885,-6.1878e-05,6.7403e-05,2.3967e-06,5.9601e-07,-0.0044558,1.3502e-06,2.232e-05,8.1896e-06,0.0050431,4.8194e-06,2.5273e-05,2708.4,0.0,0.0,0.0037015,-0.00058595,0.0021261
25,-77.5,-72.5,-162.0,-144.0,21.942,1.2304e-06,0.08957,0.21256,0.45801,0.15328,0.0046164,0.081835,675.42,1.6321,0.44455,6.5441e-05,0.0,0.0,-1.9459e-05,0.0,0.0,-0.21843,6.2558e-06,-2.7499e-05,0.00016158,0.0,-5.3819e-05,0.0,-1.6409e-05,0.036729,-0.00012743,5.3849e-05,0.00011918,-3.1972e-06,-4.4997e-06,3.7583e-07,0.15198,0.00014625,-0.00022981,5.9366e-05,0.0,0.0,0.024951,-5.5657e-05,5.9324e-05,2.1881e-06,5.4722e-07,-0.0040402,1.1744e-06,2.0205e-05,7.4174e-06,0.0045845,4.2123e-06,2.2591e-05,2419.1,0.0,0.0,0.0033112,-0.00052503,0.0019051
26,-77.5,-72.5,-144.0,-126.0,21.966,1.3332e-06,0.11241,0.24247,0.43817,0.15449,0.0,0.06552,508.85,1.5157,0.41279,6.5088e-05,0.0,0.0,-1.9256e-05,0.0,0.0,-0.21813,4.4136e-06,-2.7189e-05,0.0001598,0.0,-5.2511e-05,0.0,-1.565e-05,0.037726,-0.00013003,4.832e-05,0.00011852,-3.7172e-06,-4.1214e-06,7.2926e-07,0.1501,0.00014592,-0.00022491,5.8361e-05,0.0,0.0,0.024653,-5.3416e-05,6.2289e-05,1.8336e-06,4.2043e-07,-0.0036684,1.4938e-06,1.8315e-05,6.4471e-06,0.0040611,5.275e-06,2.144e-05,2415.9,0.0,0.0,0.003324,-0.00051222,0.0019027
27,-77.5,-72.5,-126.0,-108.0,22.036,1.3935e-06,0.08555,0.20993,0.47224,0.15496,0.00079543,0.065265,453.56,1.1552,0.31436,6.4094e-05,0.0,0.0,-1.8875e-05,0.0,0.0,-0.21583,3.2778e-06,-2.7722e-05,0.00015792,0.0,-5.1559e-05,0.0,-1.5137e-05,0.03795,-0.00013004,4.503e-05,0.00011768,-3.9685e-06,-3.9266e-06,8.4336e-07,0.14807,0.00014451,-0.00022093,5.7464e-05,0.0,0.0,0.024079,-5.1665e-05,6.3479e-05,1.6774e-06,3.6653e-07,-0.0035128,1.6293e-06,1.7379e-05,5.972e-06,0.0037366,5.604e-06,2.0903e-05,2402.6,0.0,0.0,0.0032831,-0.00049822,0.0018993
28,-77.5,-72.5,-108.0,-90.0,21.799,1.5077e-06,0.062135,0.27753,0.44725,0.15784,0.0014696,0.050748,402.08,0.75516,0.20516,5.7652e-05,0.0,0.0,-1.6588e-05,0.0,0.0,-0.19293,1.2357e-06,-2.4784e-05,0.00014162,0.0,-4.5036e-05,0.0,-1.3038e-05,0.035044,-0.00011914,3.5947e-05,0.00010594,-3.8046e-06,-3.2407e-06,1.0899e-06,0.13061,0.00012905,-0.00019188,5.0313e-05,0.0,0.0,0.021081,-4.3613e-05,5.7941e-05,1.2713e-06,2.4189e-07,-0.0028706,1.6661e-06,1.3964e-05,4.6581e-06,0.002878,5.8534e-06,1.7566e-05,2132.7,0.0,0.0,0.0029011,-0.00042468,0.0016791
29,-77.5,-72.5,-90.0,-72.0,21.677,1.5445e-06,0.072718,0.28714,0.43839,0.14938,0.0028711,0.043904,347.69,0.62541,0.16974,5.7987e-05,0.0,0.0,-1.6536e-05,0.0,0.0,-0.19366,5.1586e-07,-2.392e-05,0.00014127,0.0,-4.449e-05,0.0,-1.2849e-05,0.035634,-0.00012012,3.3793e-05,0.000106,-3.9555e-06,-3.1561e-06,1.2399e-06,0.13045,0.00012899,-0.00019005,4.9895e-05,0.0,0.0,0.021051,-4.2744e-05,5.8513e-05,1.2062e-06,2.1591e-07,-0.0028098,1.7372e-06,1.3468e-05,4.4135e-06,0.0027152,6.1835e-06,1.7051e-05,2129.5,0.0,0.0,0.0028972,-0.00041847,0.0016704
30,-77.5,-72.5,-72.0,-54.0,21.674,1.5056e-06,0.080514,0.26603,0.44535,0.15867,0.00082176,0.047231,271.51,0.64884,0.17613,6.0664e-05,0.0,0.0,-1.7441e-05,0.0,0.0,-0.20185,1.2245e-06,-2.5617e-05,0.00014874,0.0,-4.721e-05,0.0,-1.3671e-05,0.036526,-0.00012464,3.8021e-05,0.00011128,-3.9985e-06,-3.3935e-06,1.1969e-06,0.13671,0.00013497,-0.00020129,5.2736e-05,0.0,0.0,0.02197,-4.5594e-05,6.0664e-05,1.3236e-06,2.4977e-07,-0.0029849,1.7305e-06,1.4554e-05,4.8364e-06,0.0029786,6.1753e-06,1.8194e-05,2218.9,0.0,0.0,0.0030239,-0.00044231,0.0017511
31,-77.5,-72.5,-54.0,-36.0,21.614,1.5206e-06,0.071002,0.28268,0.44893,0.15298,0.0019646,0.045084,352.55,0.50101,0.13577,6.4349e-05,0.0,0.0,-1.8409e-05,0.0,0.0,-0.21412,8.1104e-07,-2.6807e-05,0.00015741,0.0,-4.9829e-05,0.0,-1.4388e-05,0.039177,-0.00013197,3.8598e-05,0.00011773,-4.2504e-06,-3.5468e-06,1.3233e-06,0.14444,0.00014227,-0.00021112,5.5673e-05,0.0,0.0,0.023282,-4.7566e-05,6.4263e-05,1.3743e-06,2.5297e-07,-0.0031347,1.8872e-06,1.5147e-05,5.0158e-06,0.0030798,6.6691e-06,1.9061e-05,2349.9,0.0,0.0,0.0031752,-0.0004608,0.0018451
32,-77.5,-72.5,-36.0,-18.0,21.722,1.5265e-06,0.066574,0.25905,0.4537,0.16517,0.0010651,0.048313,287.94,0.63619,0.17268,6.8221e-05,0.0,0.0,-1.9578e-05,0.0,0.0,-0.22815,1.0416e-06,-2.8891e-05,0.00016695,0.0,-5.2914e-05,0.0,-1.5272e-05,0.04176,-0.00014076,4.0996e-05,0.00012517,-4.6671e-06,-3.771e-06,1.3303e-06,0.154,0.00015214,-0.00022557,5.9249e-05,0.0,0.0,0.024783,-5.1078e-05,6.8975e-05,1.4531e-06,2.7028e-07,-0.003333,1.9805e-06,1.6151e-05,5.3612e-06,0.0033,7.0281e-06,2.055e-05,2509.4,0.0,0.0,0.0034149,-0.00049678,0.0019782
33,-77.5,-72.5,-18.0,0.0,21.646,1.5823e-06,0.061777,0.27062,0.4492,0.16166,0.0026928,0.043908,246.83,0.51532,0.13968,6.4342e-05,0.0,0.0,-1.8235e-05,0.0,0.0,-0.21453,3.4115e-08,-2.6768e-05,0.00015654,0.0,-4.8984e-05,0.0,-1.4117e-05,0.040017,-0.00013331,3.5424e-05,0.00011766,-4.507e-06,-3.408e-06,1.4081e-06,0.14381,0.00014252,-0.00020847,5.4989e-05,0.0,0.0,0.023122,-4.6573e-05,6.5355e-05,1.2709e-06,2.1837e-07,-0.0030226,1.949e-06,1.4424e-05,4.7445e-06,0.0028567,6.9826e-06,1.8824e-05,2354.1,0.0,0.0,0.0031919,-0.0004559,0.001852
