PIXEL_INDEX,MIN_LAT,MAX_LAT,MIN_LON,MAX_LON,AM,NEUTRON_DEN,W_MGO,W_AL2O3,W_SIO2,W_CAO,W_TIO2,W_FEO,W_K,W_TH,W_U,"E[0,0]","E[0,1]","E[0,2]","E[0,3]","E[0,4]","E[0,5]","E[0,6]","E[0,7]","E[0,8]","E[1,1]","E[1,2]","E[1,3]","E[1,4]","E[1,5]","E[1,6]","E[1,7]","E[1,8]","E[2,2]","E[2,3]","E[2,4]","E[2,5]","E[2,6]","E[2,7]","E[2,8]","E[3,3]","E[3,4]","E[3,5]","E[3,6]","E[3,7]","E[3,8]","E[4,4]","E[4,5]","E[4,6]","E[4,7]","E[4,8]","E[5,5]","E[5,6]","E[5,7]","E[5,8]","E[6,6]","E[6,7]","E[6,8]","E[7,7]","E[7,8]","E[8,8]"
68,0.0,20.0,18.0,36.0,23.002,7.9102e-07,0.094377,0.10433,0.38582,0.1178,0.058728,0.17071,825.98,1.6835,0.4586,1.6216e-05,0.0,0.0,-4.7318e-06,0.0,0.0,-0.055363,4.2158e-06,-7.482e-06,4.1396e-05,0.0,-1.4387e-05,0.0,-5.4029e-06,0.0082702,-2.7186e-05,1.9717e-05,2.9302e-05,-1.7253e-07,-1.8192e-06,-5.2691e-07,0.040732,3.6783e-05,-6.4592e-05,1.557e-05,0.0,0.0,0.0065175,-1.6975e-05,1.0731e-05,1.5056e-06,4.6058e-07,-0.0018684,-6.8502e-07,8.835e-06,3.9828e-06,0.0022664,-1.2699e-06,7.5938e-06,645.49,0.0,0.0,0.00084705,-0.00015022,0.00050831
69,0.0,20.0,36.0,54.0,22.499,1.0789e-06,0.10633,0.16715,0.4106,0.13841,0.020089,0.11528,655.59,1.3813,0.37609,1.7091e-05,0.0,0.0,-5.1569e-06,0.0,0.0,-0.058928,2.3841e-06,-7.7479e-06,4.3289e-05,0.0,-1.4813e-05,0.0,-4.6525e-06,0.0091266,-3.2154e-05,1.7401e-05,3.1421e-05,-6.7469e-07,-1.3607e-06,-8.7961e-08,0.041848,3.8665e-05,-6.4629e-05,1.6233e-05,0.0,0.0,0.0070151,-1.6008e-05,1.4782e-05,7.7664e-07,2.1049e-07,-0.0012867,1.8192e-07,6.4101e-06,2.4353e-06,0.0016313,5.2514e-07,6.669e-06,673.44,0.0,0.0,0.00088544,-0.00014604,0.00052735
70,0.0,20.0,54.0,72.0,22.131,1.2209e-06,0.094604,0.19858,0.42031,0.14468,0.010686,0.10653,497.18,0.92118,0.25048,1.6641e-05,0.0,0.0,-4.9803e-06,0.0,0.0,-0.057007,1.5398e-06,-7.5144e-06,4.1972e-05,0.0,-1.4066e-05,0.0,-4.2234e-06,0.0091817,-3.2316e-05,1.4899e-05,3.072e-05,-8.4866e-07,-1.1519e-06,6.7667e-08,0.039783,3.7306e-05,-6.062e-05,1.5514e-05,0.0,0.0,0.0066719,-1.4494e-05,1.5514e-05,5.6729e-07,1.3676e-07,-0.0010615,3.6331e-07,5.2836e-06,1.9235e-06,0.0013167,1.0047e-06,5.9693e-06,642.92,0.0,0.0,0.00084385,-0.00013365,0.00050339
71,0.0,20.0,72.0,90.0,22.032,1.3458e-06,0.086645,0.205,0.43761,0.15223,0.008596,0.084626,482.46,1.0381,0.2824,1.4763e-05,0.0,0.0,-4.3458e-06,0.0,0.0,-0.050724,9.2714e-07,-6.5552e-06,3.6905e-05,0.0,-1.2091e-05,0.0,-3.5226e-06,0.0084868,-2.9709e-05,1.1859e-05,2.7271e-05,-8.5284e-07,-9.202e-07,1.7586e-07,0.03487,3.3278e-05,-5.209e-05,1.3428e-05,0.0,0.0,0.0058895,-1.2215e-05,1.4342e-05,4.0639e-07,8.7594e-08,-0.00084432,3.9893e-07,4.1286e-06,1.4182e-06,0.0010069,1.201e-06,4.875e-06,571.36,0.0,0.0,0.00075612,-0.00011611,0.00044461
72,0.0,20.0,90.0,108.0,21.943,1.4511e-06,0.083812,0.23851,0.43802,0.14871,0.0071898,0.070655,398.48,0.83595,0.22722,1.5049e-05,0.0,0.0,-4.3633e-06,0.0,0.0,-0.051735,5.3495e-07,-6.6127e-06,3.7373e-05,0.0,-1.2e-05,0.0,-3.4406e-06,0.0089312,-3.0935e-05,1.0843e-05,2.7804e-05,-9.6734e-07,-8.66e-07,2.5444e-07,0.03514,3.3882e-05,-5.183e-05,1.3407e-05,0.0,0.0,0.0059355,-1.1831e-05,1.5125e-05,3.5275e-07,6.7558e-08,-0.00079197,4.5392e-07,3.8164e-06,1.2656e-06,0.00090964,1.4294e-06,4.7031e-06,580.67,0.0,0.0,0.00076766,-0.00011452,0.00045116
73,0.0,20.0,108.0,126.0,21.777,1.548e-06,0.072651,0.25782,0.43274,0.15611,0.0047022,0.061787,287.21,0.5526,0.14986,1.533e-05,0.0,0.0,-4.3626e-06,0.0,0.0,-0.052476,1.8333e-07,-6.6987e-06,3.788e-05,0.0,-1.1884e-05,0.0,-3.3808e-06,0.0093557,-3.2022e-05,9.8713e-06,2.8324e-05,-1.0493e-06,-8.2013e-07,3.2395e-07,0.035218,3.4398e-05,-5.1237e-05,1.3329e-05,0.0,0.0,0.0059101,-1.1449e-05,1.5647e-05,3.1071e-07,5.1898e-08,-0.0007446,4.9188e-07,3.5387e-06,1.1511e-06,0.00081787,1.6141e-06,4.549e-06,586.14,0.0,0.0,0.00077473,-0.00011223,0.00045493
74,0.0,20.0,126.0,144.0,21.671,1.6598e-06,0.061382,0.2668,0.44027,0.16456,0.0028642,0.046418,276.23,0.55173,0.14962,1.5558e-05,0.0,0.0,-4.3122e-06,0.0,0.0,-0.053336,-1.5037e-07,-6.5947e-06,3.8033e-05,0.0,-1.1616e-05,0.0,-3.2768e-06,0.0098967,-3.3152e-05,8.6872e-06,2.8665e-05,-1.1265e-06,-7.6941e-07,4.0098e-07,0.035295,3.4952e-05,-5.0191e-05,1.3112e-05,0.0,0.0,0.0059001,-1.1056e-05,1.6025e-05,2.6989e-07,3.762e-08,-0.00070011,5.1864e-07,3.2404e-06,1.0177e-06,0.00071826,1.7965e-06,4.3205e-06,594.93,0.0,0.0,0.00078861,-0.00011087,0.00045887
75,0.0,20.0,144.0,162.0,21.652,1.6478e-06,0.068976,0.27532,0.44143,0.17147,0.001313,0.044556,353.64,0.84463,0.22958,1.6592e-05,0.0,0.0,-4.6028e-06,0.0,0.0,-0.056918,-1.0119e-07,-6.9289e-06,4.0432e-05,0.0,-1.236e-05,0.0,-3.4948e-06,0.010537,-3.526e-05,9.3381e-06,3.0457e-05,-1.1809e-06,-8.2216e-07,4.31e-07,0.037651,3.7226e-05,-5.3366e-05,1.3947e-05,0.0,0.0,0.0063269,-1.1835e-05,1.695e-05,2.8925e-07,4.1284e-08,-0.00074658,5.4522e-07,3.4647e-06,1.0872e-06,0.00077593,1.9097e-06,4.5786e-06,634.44,0.0,0.0,0.00084407,-0.00011913,0.00048773
76,0.0,20.0,162.0,180.0,21.566,1.7241e-06,0.053571,0.2809,0.44987,0.17614,0.0022713,0.03922,292.92,0.66665,0.181,1.6572e-05,0.0,0.0,-4.5269e-06,0.0,0.0,-0.056708,-3.6827e-07,-6.9102e-06,4.0161e-05,0.0,-1.2059e-05,0.0,-3.4109e-06,0.010767,-3.5515e-05,8.2998e-06,3.0402e-05,-1.2547e-06,-7.8427e-07,4.6977e-07,0.037199,3.7065e-05,-5.2186e-05,1.3673e-05,0.0,0.0,0.0062074,-1.1408e-05,1.7153e-05,2.6359e-07,3.2659e-08,-0.00071244,5.5655e-07,3.2502e-06,1.0052e-06,0.00069658,2.0019e-06,4.4346e-06,630.95,0.0,0.0,0.00083917,-0.00011569,0.00048538
77,20.0,40.0,-180.0,-157.5,21.601,1.7519e-06,0.054393,0.28526,0.44683,0.16156,0.0022904,0.042211,237.56,0.40563,0.10974,1.4348e-05,0.0,0.0,-3.8954e-06,0.0,0.0,-0.049027,-3.6505e-07,-5.7557e-06,3.3901e-05,0.0,-1.0059e-05,0.0,-2.8375e-06,0.0091607,-2.9489e-05,6.3744e-06,2.5687e-05,-9.8967e-07,-6.4383e-07,4.267e-07,0.031535,3.0921e-05,-4.2737e-05,1.1476e-05,0.0,0.0,0.0057691,-9.6944e-06,1.4217e-05,2.1307e-07,2.5128e-08,-0.00056574,4.7099e-07,2.6547e-06,8.1742e-07,0.00065363,1.6724e-06,3.6688e-06,542.78,0.0,0.0,0.00070529,-9.5112e-05,0.00040911
