,class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,Unnamed: 29,active_region,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,STARTIME,ENDTIME,Centroid_LAT,Centroid_LON,ca,mg,fe,ti,al,o,si
1422392,20221005T071720333_20221005T071728333,20221005,25915.0,10.59,26265.0,105.85,27125.0,10.72,2,True,True,B8,B1,709.45,202.93,98.72,26115.76,131.07,337.7,439.948,0.648,168.93,24535.0,12.25,26305.0,119.14,28735.0,-15.1,True,,False,-39.1467,-40.3022,-40.41,-39.2526,138.762,138.62,139.597,139.724,2022-10-05T07:17:20.333,2022-10-05T07:17:28.333,-39.777875,139.17575,12.771653543307089,3.619909502262444,4.078947368421053,1.1037735849056602,16.07843137254902,45.09623430962343,17.251050318931306
408380,20210829T042437693_20210829T042445693,20210829,15845.0,3.06,15915.0,50.94,16235.0,5.22,11,True,True,B1,A5,124.13,172.94,35.28,15881.93,21.96,134.94,29.703,0.781,52.3,14935.0,-2.42,15925.0,55.12,17215.0,6.12,True,,False,12.8463,11.4631,11.3985,12.7782,-142.007,-142.071,-141.069,-141.0,2021-08-29T04:24:37.693,2021-08-29T04:24:45.693,12.121525,-141.53674999999998,13.653543307086617,3.981900452488688,2.8947368421052637,0.9622641509433962,16.235294117647058,44.94979079497908,17.322470334749895
572647,20201019T054538508_20201019T054546508,20201019,20375.0,3.9,20695.0,39.07,21735.0,3.94,9,False,False,A8,A3,50.43,93.26,31.52,20544.31,114.32,423.92,4.943,0.96,221.33,19975.0,5.22,20715.0,40.9,23815.0,-5.41,True,,,-36.993,-38.1843,-38.4016,-37.2064,-142.739,-143.023,-142.023,-141.754,2020-10-19T05:45:38.508,2020-10-19T05:45:46.508,-37.696325,-142.38475,12.582677165354331,5.574660633484163,4.605263157894736,0.7358490566037736,15.607843137254902,45.09623430962343,15.797472539784664
1357322,20220509T212440591_20220509T212448591,20220509,76706.0,49.77,77146.0,473.4,79516.0,47.25,5,True,True,C1,B4,747.79,1736.08,319.54,76908.66,146.4,996.9,345.059,0.973,1387.66,70376.0,32.21,77176.0,463.5,81416.0,-31.01,True,,,-38.3709,-39.481,-39.9887,-38.8708,114.883,114.235,115.153,115.794,2022-05-09T21:24:40.591,2022-05-09T21:24:48.591,-39.17785,115.01625,11.637795275590552,4.126696832579186,6.184210526315789,1.358490566037736,15.92156862745098,45.21338912133891,15.55784905068684
1117189,20220427T125342661_20220427T125350661,20220427,44816.0,5.51,44936.0,48.51,46636.0,4.82,1,False,True,C1,A4,1151.53,440.66,27.45,44861.88,36.23,729.15,35.15,0.839,79.01,44096.0,-10.73,44956.0,62.65,47096.0,-3.68,True,,,-54.4669,-55.5611,-55.9692,-54.8667,-81.436,-82.1411,-80.9198,-80.2388,2022-04-27T12:53:42.661,2022-04-27T12:53:50.661,-55.21597500000001,-81.18392499999999,10.377952755905511,3.4027149321266967,3.684210526315789,0.7358490566037736,16.392156862745097,45.9163179916318,19.49079787467133
1212074,20220823T161142615_20220823T161150615,20220823,57655.0,8.48,58985.0,85.43,60345.0,8.44,2,True,True,B4,A8,406.88,87.6,467.29,58852.64,609.46,143.2,259.74,0.763,442.39,55495.0,19.76,59025.0,98.19,61735.0,-25.85,True,,,-72.0225,-73.1541,-72.7464,-71.6316,-19.8636,-18.5727,-16.1481,-17.554,2022-08-23T16:11:42.615,2022-08-23T16:11:50.615,-72.38865,-18.0346,12.708661417322835,6.733031674208145,3.421052631578948,0.7075471698113207,13.490196078431374,45.44769874476987,17.491812283877493
735123,20220204T062040762_20220204T062048762,20220204,21735.0,199.52,22015.0,1942.64,23225.0,193.6,2,True,True,C2,C1,976.86,5874.75,1402.97,21871.41,95.81,502.84,1045.297,0.996,2357.47,20815.0,-28.75,21985.0,2120.96,24655.0,10.02,True,,,87.076,85.9314,86.3703,87.6102,103.937,112.774,125.241,120.813,2022-02-04T06:20:40.762,2022-02-04T06:20:48.762,86.746975,115.69125,11.32283464566929,6.298642533936651,1.8421052631578945,0.3113207547169812,18.352941176470587,45.38912133891213,16.483034287136462
121613,20240411T211335294_20240411T211343294,20240411,74765.0,53.09,76475.0,529.92,78645.0,96.34,1,False,True,C4,B5,3726.73,745.97,700.04,75905.55,693.89,926.72,1055.197,0.962,1340.47,74455.0,60.23,76105.0,581.64,78645.0,49.88,True,,True,17.0836,15.8642,15.9442,17.166,-146.671,-146.592,-145.745,-145.819,2024-04-11T21:13:35.294,2024-04-11T21:13:43.294,16.5145,-146.20675,15.984251968503935,6.877828054298643,4.605263157894736,0.5660377358490567,12.07843137254902,43.80753138075314,16.08065633015147
275727,20211009T225510616_20211009T225518616,20211009,82085.0,148.77,82505.0,1442.5,84715.0,144.27,2,True,True,C1,C1,208.82,5206.59,978.54,82279.78,139.45,929.91,3985.966,0.959,4692.18,72535.0,-103.12,82705.0,1408.2,86215.0,78.7,True,,False,-73.9793,-75.2823,-75.5247,-74.2075,27.256,26.2239,29.8235,30.5808,2021-10-09T22:55:10.616,2021-10-09T22:55:18.616,-74.74844999999999,28.47105,11.763779527559056,7.312217194570135,5.394736842105264,0.7075471698113207,13.96078431372549,45.68200836820084,15.178926584027892
528037,20211030T201705314_20211030T201713314,20211030,71156.0,27.96,71876.0,278.48,74086.0,27.87,3,True,True,B6,B2,383.75,630.69,231.54,71544.45,260.93,890.8,220.234,0.966,1272.77,67856.0,-12.78,71836.0,315.44,75656.0,-15.49,True,,,-75.8917,-77.0904,-77.6259,-76.3971,115.46,113.182,116.855,118.901,2021-10-30T20:17:05.314,2021-10-30T20:17:13.314,-76.75127499999999,116.0995,11.88976377952756,6.877828054298643,4.605263157894736,0.7075471698113207,12.549019607843135,45.50627615062761,17.86430207999699
