class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,
20200223T195817917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195825917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T195833917_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T235958824_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200223T235958824_2020022,20200223,71605,0.7,71665,5.76,71925,0.59,8,False,False,False,sub-A,sub-A,0.5,16.53,4.26,71634.81,22.18,107.92,0.441,0.843,42.78,71215,-0.19,71655,7.37,72175,-0.18,True,
20200227T175339934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175347934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175355934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175403934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175411934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175419934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175427934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175435934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175443934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175451934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175459934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175507934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175515934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175523934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175531934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175539934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175547934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175555934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175603934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175611934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175619934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175627934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175635934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175643934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175651934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175659934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175707934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
20200227T175715934_2020022,20200227,64415,0.26,64685,2.83,65315,0.28,13,False,False,False,sub-A,sub-A,0.71,5.16,2.76,64577.47,102.09,239.4,0.226,0.77,65.81,64285,-0.02,64735,3.8,66175,-0.33,True,
